Country,Time,BoJ’s Total Assets (100 Million Yen)
JP,1998-04,800652.0
JP,1998-05,771888.0
JP,1998-06,753964.0
JP,1998-07,724375.0
JP,1998-08,763742.0
JP,1998-09,783667.0
JP,1998-10,775368.0
JP,1998-11,883012.0
JP,1998-12,912382.0
JP,1999-01,797188.0
JP,1999-02,755897.0
JP,1999-03,797450.0
JP,1999-04,791152.0
JP,1999-05,744742.0
JP,1999-06,734211.0
JP,1999-07,686329.0
JP,1999-08,680224.0
JP,1999-09,688207.0
JP,1999-10,680064.0
JP,1999-11,841508.0
JP,1999-12,1113478.0
JP,2000-01,905251.0
JP,2000-02,941085.0
JP,2000-03,1062017.0
JP,2000-04,797289.0
JP,2000-05,838507.0
JP,2000-06,837194.0
JP,2000-07,807840.0
JP,2000-08,885391.0
JP,2000-09,853390.0
JP,2000-10,920988.0
JP,2000-11,1054097.0
JP,2000-12,1067962.0
JP,2001-01,1078487.0
JP,2001-02,1102160.0
JP,2001-03,1150959.0
JP,2001-04,1123259.0
JP,2001-05,1138146.0
JP,2001-06,1169329.0
JP,2001-07,1163779.0
JP,2001-08,1133882.0
JP,2001-09,1156156.0
JP,2001-10,1107271.0
JP,2001-11,1133942.0
JP,2001-12,1175079.0
JP,2002-01,1224388.0
JP,2002-02,1313520.0
JP,2002-03,1385648.0
JP,2002-04,1328094.0
JP,2002-05,1279453.0
JP,2002-06,1241193.0
JP,2002-07,1265421.0
JP,2002-08,1284793.0
JP,2002-09,1244691.0
JP,2002-10,1246432.0
JP,2002-11,1250866.0
JP,2002-12,1251263.0
JP,2003-01,1245386.0
JP,2003-02,1325273.0
JP,2003-03,1411674.0
JP,2003-04,1283101.0
JP,2003-05,1306815.0
JP,2003-06,1252605.0
JP,2003-07,1263771.0
JP,2003-08,1283228.0
JP,2003-09,1339295.0
JP,2003-10,1322521.0
JP,2003-11,1347558.0
JP,2003-12,1313685.0
JP,2004-01,1354300.0
JP,2004-02,1405509.0
JP,2004-03,1493819.0
JP,2004-04,1382514.0
JP,2004-05,1390667.0
JP,2004-06,1347362.0
JP,2004-07,1314783.0
JP,2004-08,1382251.0
JP,2004-09,1394564.0
JP,2004-10,1384015.0
JP,2004-11,1478802.0
JP,2004-12,1445467.0
JP,2005-01,1473561.0
JP,2005-02,1514085.0
JP,2005-03,1505173.0
JP,2005-04,1473513.0
JP,2005-05,1477619.0
JP,2005-06,1442122.0
JP,2005-07,1476503.0
JP,2005-08,1513847.0
JP,2005-09,1481357.0
JP,2005-10,1477546.0
JP,2005-11,1519701.0
JP,2005-12,1556071.0
JP,2006-01,1528656.0
JP,2006-02,1523477.0
JP,2006-03,1448629.0
JP,2006-04,1299799.0
JP,2006-05,1227935.0
JP,2006-06,1138328.0
JP,2006-07,1159675.0
JP,2006-08,1132672.0
JP,2006-09,1174523.0
JP,2006-10,1151993.0
JP,2006-11,1185414.0
JP,2006-12,1155436.0
JP,2007-01,1146223.0
JP,2007-02,1176947.0
JP,2007-03,1127409.0
JP,2007-04,1060053.0
JP,2007-05,1075105.0
JP,2007-06,1000712.0
JP,2007-07,1077171.0
JP,2007-08,1107917.0
JP,2007-09,1110324.0
JP,2007-10,1073472.0
JP,2007-11,1114939.0
JP,2007-12,1112844.0
JP,2008-01,1130604.0
JP,2008-02,1142477.0
JP,2008-03,1134262.0
JP,2008-04,1072225.0
JP,2008-05,1101273.0
JP,2008-06,1014199.0
JP,2008-07,1083652.0
JP,2008-08,1098870.0
JP,2008-09,1125287.0
JP,2008-10,1168028.0
JP,2008-11,1215262.0
JP,2008-12,1227708.0
JP,2009-01,1195135.0
JP,2009-02,1221730.0
JP,2009-03,1238886.0
JP,2009-04,1147983.0
JP,2009-05,1187973.0
JP,2009-06,1098429.0
JP,2009-07,1147349.0
JP,2009-08,1171842.0
JP,2009-09,1163248.0
JP,2009-10,1114000.0
JP,2009-11,1172964.0
JP,2009-12,1225336.0
JP,2010-01,1224342.0
JP,2010-02,1267675.0
JP,2010-03,1218241.0
JP,2010-04,1142013.0
JP,2010-05,1209586.0
JP,2010-06,1132336.0
JP,2010-07,1173742.0
JP,2010-08,1230414.0
JP,2010-09,1203317.0
JP,2010-10,1214171.0
JP,2010-11,1270457.0
JP,2010-12,1287104.0
JP,2011-01,1279996.0
JP,2011-02,1301181.0
JP,2011-03,1423631.0
JP,2011-04,1346213.0
JP,2011-05,1351200.0
JP,2011-06,1295844.0
JP,2011-07,1344737.0
JP,2011-08,1414829.0
JP,2011-09,1376890.0
JP,2011-10,1329858.0
JP,2011-11,1432056.0
JP,2011-12,1430219.0
JP,2012-01,1369064.0
JP,2012-02,1442443.0
JP,2012-03,1394569.0
JP,2012-04,1412065.0
JP,2012-05,1428007.0
JP,2012-06,1436265.0
JP,2012-07,1454954.0
JP,2012-08,1499672.0
JP,2012-09,1499208.0
JP,2012-10,1537316.0
JP,2012-11,1563579.0
JP,2012-12,1583627.0
