Country,Time,Monetary Aggregates - M1 (JPY),Monetary Aggregates - M2 (JPY),Monetary Aggregates - M3 (JPY)
JP,1955-01,,3564500000000.0,
JP,1955-02,,3595400000000.0,
JP,1955-03,,3614400000000.0,
JP,1955-04,,3664300000000.0,
JP,1955-05,,3705400000000.0,
JP,1955-06,,3747500000000.0,
JP,1955-07,,3805000000000.0,
JP,1955-08,,3883400000000.0,
JP,1955-09,,3901700000000.0,
JP,1955-10,,3973400000000.0,
JP,1955-11,,4026900000000.0,
JP,1955-12,,4097900000000.0,
JP,1956-01,,4141100000000.0,
JP,1956-02,,4212600000000.0,
JP,1956-03,,4275300000000.0,
JP,1956-04,,4328900000000.0,
JP,1956-05,,4408600000000.0,
JP,1956-06,,4512500000000.0,
JP,1956-07,,4580700000000.0,
JP,1956-08,,4663000000000.0,
JP,1956-09,,4762800000000.0,
JP,1956-10,,4819200000000.0,
JP,1956-11,,4911700000000.0,
JP,1956-12,,5004500000000.0,
JP,1957-01,,5098900000000.0,
JP,1957-02,,5155900000000.0,
JP,1957-03,,5238900000000.0,
JP,1957-04,,5315900000000.0,
JP,1957-05,,5386100000000.0,
JP,1957-06,,5425600000000.0,
JP,1957-07,,5478900000000.0,
JP,1957-08,,5531300000000.0,
JP,1957-09,,5560900000000.0,
JP,1957-10,,5649600000000.0,
JP,1957-11,,5704200000000.0,
JP,1957-12,,5758300000000.0,
JP,1958-01,,5830700000000.0,
JP,1958-02,,5897500000000.0,
JP,1958-03,,5962300000000.0,
JP,1958-04,,6068000000000.0,
JP,1958-05,,6115600000000.0,
JP,1958-06,,6221100000000.0,
JP,1958-07,,6341200000000.0,
JP,1958-08,,6441600000000.0,
JP,1958-09,,6550000000000.0,
JP,1958-10,,6652500000000.0,
JP,1958-11,,6788100000000.0,
JP,1958-12,,6855300000000.0,
JP,1959-01,,6878100000000.0,
JP,1959-02,,7053700000000.0,
JP,1959-03,,7203300000000.0,
JP,1959-04,,7285000000000.0,
JP,1959-05,,7412900000000.0,
JP,1959-06,,7516000000000.0,
JP,1959-07,,7626700000000.0,
JP,1959-08,,7643600000000.0,
JP,1959-09,,7865500000000.0,
JP,1959-10,,7993700000000.0,
JP,1959-11,,8119700000000.0,
JP,1959-12,,8246200000000.0,
JP,1960-01,4079303625350.38,8377400000000.0,
JP,1960-02,4021869747177.6,8488100000000.0,
JP,1960-03,4110392833317.82,8626800000000.0,
JP,1960-04,4169824411600.96,8732600000000.0,
JP,1960-05,4219891770616.8003,8886300000000.0,
JP,1960-06,4270957979687.82,9016000000000.0,
JP,1960-07,4421534625506.03,9154300000000.0,
JP,1960-08,4387698579886.8506,9321900000000.0,
JP,1960-09,4470603134466.69,9487800000000.0,
JP,1960-10,4577604946627.721,9652000000000.0,
JP,1960-11,4690475002862.93,9827900000000.0,
JP,1960-12,4786239751903.2,9979400000000.0,
JP,1961-01,4912843996397.12,10171700000000.0,
JP,1961-02,5065168629811.89,10400800000000.0,
JP,1961-03,5139707815179.61,10585000000000.0,
JP,1961-04,5371690740494.9,10787000000000.0,
JP,1961-05,5333110157113.62,10939900000000.0,
JP,1961-06,5469578045902.431,11136700000000.0,
JP,1961-07,5532380743121.801,11269200000000.0,
JP,1961-08,5601301396929.141,11416600000000.0,
JP,1961-09,5650369905889.8,11545500000000.0,
JP,1961-10,5676215151067.551,11686000000000.0,
JP,1961-11,5743138104764.53,11839000000000.0,
JP,1961-12,5830537484592.681,11917600000000.0,
JP,1962-01,5883851106287.85,12149000000000.0,
