Country,Time,Total Credit - Private Non-Financial (%GDP),Total Credit - General Government (%GDP),Total Credit - Households & NPISHs (%GDP)
JP,1964-10,110.8,,20.1
JP,1964-11,110.8,,20.1
JP,1964-12,110.8,,20.1
JP,1965-01,111.6,,20.1
JP,1965-02,111.6,,20.1
JP,1965-03,111.6,,20.1
JP,1965-04,111.5,,19.9
JP,1965-05,111.5,,19.9
JP,1965-06,111.5,,19.9
JP,1965-07,114.0,,20.6
JP,1965-08,114.0,,20.6
JP,1965-09,114.0,,20.6
JP,1965-10,117.8,,21.6
JP,1965-11,117.8,,21.6
JP,1965-12,117.8,,21.6
JP,1966-01,118.2,,21.7
JP,1966-02,118.2,,21.7
JP,1966-03,118.2,,21.7
JP,1966-04,116.4,,21.8
JP,1966-05,116.4,,21.8
JP,1966-06,116.4,,21.8
JP,1966-07,117.5,,22.5
JP,1966-08,117.5,,22.5
JP,1966-09,117.5,,22.5
JP,1966-10,118.4,,22.8
JP,1966-11,118.4,,22.8
JP,1966-12,118.4,,22.8
JP,1967-01,117.5,,22.8
JP,1967-02,117.5,,22.8
JP,1967-03,117.5,,22.8
JP,1967-04,117.0,,23.0
JP,1967-05,117.0,,23.0
JP,1967-06,117.0,,23.0
JP,1967-07,118.0,,23.1
JP,1967-08,118.0,,23.1
JP,1967-09,118.0,,23.1
JP,1967-10,119.2,,23.8
JP,1967-11,119.2,,23.8
JP,1967-12,119.2,,23.8
JP,1968-01,118.1,,23.6
JP,1968-02,118.1,,23.6
JP,1968-03,118.1,,23.6
JP,1968-04,116.7,,23.5
JP,1968-05,116.7,,23.5
JP,1968-06,116.7,,23.5
JP,1968-07,116.7,,24.0
JP,1968-08,116.7,,24.0
JP,1968-09,116.7,,24.0
JP,1968-10,116.9,,24.4
JP,1968-11,116.9,,24.4
JP,1968-12,116.9,,24.4
JP,1969-01,116.4,,24.2
JP,1969-02,116.4,,24.2
JP,1969-03,116.4,,24.2
JP,1969-04,116.0,,24.5
JP,1969-05,116.0,,24.5
JP,1969-06,116.0,,24.5
JP,1969-07,116.5,,24.8
JP,1969-08,116.5,,24.8
JP,1969-09,116.5,,24.8
JP,1969-10,118.8,,25.6
JP,1969-11,118.8,,25.6
JP,1969-12,118.8,,25.6
JP,1970-01,116.4,,25.3
JP,1970-02,116.4,,25.3
JP,1970-03,116.4,,25.3
JP,1970-04,115.6,,25.2
JP,1970-05,115.6,,25.2
JP,1970-06,115.6,,25.2
JP,1970-07,116.1,,25.5
JP,1970-08,116.1,,25.5
JP,1970-09,116.1,,25.5
JP,1970-10,118.8,,26.2
JP,1970-11,118.8,,26.2
JP,1970-12,118.8,,26.2
JP,1971-01,120.0,,26.4
JP,1971-02,120.0,,26.4
JP,1971-03,120.0,,26.4
JP,1971-04,122.3,,26.9
JP,1971-05,122.3,,26.9
JP,1971-06,122.3,,26.9
JP,1971-07,126.2,,27.6
JP,1971-08,126.2,,27.6
JP,1971-09,126.2,,27.6
JP,1971-10,131.9,,29.1
JP,1971-11,131.9,,29.1
JP,1971-12,131.9,,29.1
JP,1972-01,132.7,,29.1
JP,1972-02,132.7,,29.1
JP,1972-03,132.7,,29.1
JP,1972-04,133.3,,29.5
JP,1972-05,133.3,,29.5
JP,1972-06,133.3,,29.5
JP,1972-07,136.4,,30.5
JP,1972-08,136.4,,30.5
JP,1972-09,136.4,,30.5
JP,1972-10,140.8,,32.0
JP,1972-11,140.8,,32.0
JP,1972-12,140.8,,32.0
JP,1973-01,140.4,,32.5
JP,1973-02,140.4,,32.5
JP,1973-03,140.4,,32.5
JP,1973-04,139.2,,32.7
JP,1973-05,139.2,,32.7
JP,1973-06,139.2,,32.7
JP,1973-07,139.1,,33.5
JP,1973-08,139.1,,33.5
JP,1973-09,139.1,,33.5
JP,1973-10,139.3,,34.6
JP,1973-11,139.3,,34.6
JP,1973-12,139.3,,34.6
JP,1974-01,137.5,,34.4
JP,1974-02,137.5,,34.4
JP,1974-03,137.5,,34.4
JP,1974-04,135.0,,34.2
JP,1974-05,135.0,,34.2
JP,1974-06,135.0,,34.2
JP,1974-07,132.7,,33.9
JP,1974-08,132.7,,33.9
JP,1974-09,132.7,,33.9
JP,1974-10,133.1,,34.3
JP,1974-11,133.1,,34.3
JP,1974-12,133.1,,34.3
JP,1975-01,132.0,,33.9
JP,1975-02,132.0,,33.9
JP,1975-03,132.0,,33.9
JP,1975-04,132.1,,34.1
JP,1975-05,132.1,,34.1
JP,1975-06,132.1,,34.1
JP,1975-07,134.1,,34.8
JP,1975-08,134.1,,34.8
JP,1975-09,134.1,,34.8
JP,1975-10,137.4,,36.1
JP,1975-11,137.4,,36.1
JP,1975-12,137.4,,36.1
JP,1976-01,137.1,,36.3
JP,1976-02,137.1,,36.3
JP,1976-03,137.1,,36.3
JP,1976-04,136.5,,36.5
JP,1976-05,136.5,,36.5
JP,1976-06,136.5,,36.5
