Country,Time,USD-JPY reer CPI-based (Index 2015=100),JPY-USD Spot Exchange Rate
JP,1970-01,70.31873,
JP,1970-02,70.12755,
JP,1970-03,70.36188,
JP,1970-04,70.45937,
JP,1970-05,69.85477,
JP,1970-06,69.65023,
JP,1970-07,69.15638,
JP,1970-08,69.05394,
JP,1970-09,69.9435,
JP,1970-10,70.70013,
JP,1970-11,70.43723,
JP,1970-12,70.54452,
JP,1971-01,70.70765,358.02
JP,1971-02,70.59155,357.545
JP,1971-03,70.45653,357.5187
JP,1971-04,71.13792,357.5032
JP,1971-05,70.78197,357.413
JP,1971-06,70.58921,357.4118
JP,1971-07,70.33859,357.4043
JP,1971-08,70.15312,355.78
JP,1971-09,73.41819,338.021
JP,1971-10,75.80562,331.1105
JP,1971-11,76.044,328.752
JP,1971-12,77.06127,320.0727
JP,1972-01,79.16347,312.72
JP,1972-02,78.85196,305.187
JP,1972-03,79.14995,302.5365
JP,1972-04,79.97655,303.5605
JP,1972-05,79.88175,304.3795
JP,1972-06,79.54255,302.4145
JP,1972-07,79.42837,301.0305
JP,1972-08,79.80093,301.1609
JP,1972-09,79.98067,301.119
JP,1972-10,80.32831,301.011
JP,1972-11,80.03952,300.9885
JP,1972-12,80.36461,301.2405
JP,1973-01,82.07929,301.7882
JP,1973-02,86.21674,278.4206
JP,1973-03,91.87424,261.9014
JP,1973-04,91.73819,265.4914
JP,1973-05,92.11826,264.6505
JP,1973-06,90.06288,264.4981
JP,1973-07,88.29752,264.5538
JP,1973-08,88.89861,265.22
JP,1973-09,90.8414,265.4747
JP,1973-10,89.66272,266.3348
JP,1973-11,87.48557,278.2625
JP,1973-12,89.87292,280.1775
JP,1974-01,88.67748,298.1336
JP,1974-02,89.92912,291.0872
JP,1974-03,91.45606,282.1648
JP,1974-04,93.6174,277.7741
JP,1974-05,92.04465,278.9664
JP,1974-06,91.45032,282.97
JP,1974-07,89.74779,290.98
JP,1974-08,86.85382,302.2836
