Country,Time,10-Year Gov Bond Yields (%),Call Money/Interbank Immediate (%),Est. 1-year Neutral Interest Rate (%),Est. 10-year Neutral Interest Rate (%)
JP,1985-07,,6.4167,,
JP,1985-08,,6.2476,,
JP,1985-09,,6.4972,,
JP,1985-10,,6.66,,
JP,1985-11,,7.4185,,
JP,1985-12,,8.2425,,
JP,1986-01,,7.0455,,
JP,1986-02,,6.0256,,
JP,1986-03,,5.7552,,
JP,1986-04,,4.9661,,
JP,1986-05,,4.3984,,
JP,1986-06,,4.5234,,
JP,1986-07,,4.6298,,
JP,1986-08,,4.6771,,
JP,1986-09,,4.7585,,
JP,1986-10,,4.5365,,
JP,1986-11,,3.9048,,
JP,1986-12,,4.315,,
JP,1987-01,,4.3304,,
JP,1987-02,,4.2768,,
JP,1987-03,,3.9922,,
JP,1987-04,,3.7147,,
JP,1987-05,,3.2955,,
JP,1987-06,,3.3073,,
JP,1987-07,,3.295,,
JP,1987-08,,3.3151,,
JP,1987-09,,3.5142,,
JP,1987-10,,3.5,,
JP,1987-11,,3.5268,,
JP,1987-12,,3.9575,,
JP,1988-01,,3.6994,,
JP,1988-02,,3.5852,,
JP,1988-03,,3.7734,,
JP,1988-04,,3.4946,,
JP,1988-05,,3.4643,,
JP,1988-06,,3.5938,,
JP,1988-07,,3.8646,,
JP,1988-08,,3.98,,
JP,1988-09,,4.0852,,
JP,1988-10,,4.1712,,
JP,1988-11,,3.9432,,
JP,1988-12,,4.3625,,
JP,1989-01,4.8,4.09375,,
JP,1989-02,4.894,4.17928,,
JP,1989-03,5.147,4.25426,,
JP,1989-04,5.221,4.42031,,
JP,1989-05,5.174,4.675,,
JP,1989-06,5.225,5.13778,,
JP,1989-07,5.04,5.2247,,
JP,1989-08,4.883,5.38043,,
JP,1989-09,5.096,5.43125,,
JP,1989-10,5.156,6.00893,,
JP,1989-11,5.371,6.15156,,
JP,1989-12,5.52,6.44792,,
JP,1990-01,6.449,6.58059,,
JP,1990-02,6.778,6.64309,,
JP,1990-03,6.899,6.81696,,
JP,1990-04,6.906,7.1625,,
JP,1990-05,6.508,7.25893,,
JP,1990-06,6.421,7.36458,,
JP,1990-07,6.772,7.52415,,
JP,1990-08,7.62,7.54348,,
JP,1990-09,8.032,7.76316,,
JP,1990-10,7.6,7.81108,,
JP,1990-11,7.08,8.07656,,
JP,1990-12,6.454,8.22969,,
JP,1991-01,6.432,8.05428,,
JP,1991-02,6.309,8.12007,,
JP,1991-03,6.591,8.27813,,
JP,1991-04,6.64,8.23363,,
JP,1991-05,6.637,8.03274,,
JP,1991-06,6.735,8.04063,,
JP,1991-07,6.67,7.4606,,
JP,1991-08,6.414,7.48438,,
JP,1991-09,6.081,7.04934,,
JP,1991-10,5.885,6.85795,,
JP,1991-11,5.927,6.38281,,
JP,1991-12,5.719,6.30952,,
JP,1992-01,5.449,5.52632,,
JP,1992-02,5.578,5.68257,,
JP,1992-03,5.531,5.65327,,
JP,1992-04,5.71,4.76637,,
JP,1992-05,5.739,4.74507,,
JP,1992-06,5.64,4.75284,,
JP,1992-07,5.408,4.53125,,
JP,1992-08,5.112,4.11905,,
JP,1992-09,5.021,4.22656,,
JP,1992-10,5.015,4.07386,,
JP,1992-11,4.868,3.94572,,
JP,1992-12,4.848,3.89489,,
JP,1993-01,4.723,3.89967,,
JP,1993-02,4.409,3.27632,,
JP,1993-03,4.318,3.24185,,
JP,1993-04,4.593,3.17857,,
JP,1993-05,4.943,3.2066,,
JP,1993-06,4.836,3.21429,,
JP,1993-07,4.517,3.26278,,
JP,1993-08,4.407,3.12926,,
JP,1993-09,4.016,2.85781,,
JP,1993-10,3.931,2.50781,,
JP,1993-11,3.762,2.49531,,
JP,1993-12,3.396,2.44196,,
JP,1994-01,3.597,2.33125,,
JP,1994-02,4.041,2.24013,,
JP,1994-03,4.453,2.25,,
JP,1994-04,4.093,2.175,,
JP,1994-05,3.984,2.09046,,
JP,1994-06,4.278,2.0625,,
JP,1994-07,4.531,2.08185,,
JP,1994-08,4.778,2.13043,,
JP,1994-09,4.642,2.18906,,
JP,1994-10,4.684,2.2375,,
JP,1994-11,4.718,2.26719,,
JP,1994-12,4.561,2.29315,,
JP,1995-01,4.605,2.25,1.262,2.245
JP,1995-02,4.515,2.21719,1.262,2.245
JP,1995-03,4.113,2.18892,1.262,2.245
JP,1995-04,3.545,1.525,1.192,2.155
JP,1995-05,3.386,1.31325,1.192,2.155
JP,1995-06,3.024,1.27909,1.192,2.155
JP,1995-07,2.933,0.94667,1.228,2.204
JP,1995-08,3.215,0.88174,1.228,2.204
JP,1995-09,3.03,0.5735,1.228,2.204
JP,1995-10,2.925,0.46667,1.263,2.251
JP,1995-11,3.048,0.4605,1.263,2.251
JP,1995-12,2.983,0.45905,1.263,2.251
JP,1996-01,3.12,0.46632,1.306,2.309
JP,1996-02,3.271,0.458,1.306,2.309
JP,1996-03,3.299,0.4555,1.306,2.309
JP,1996-04,3.301,0.48571,1.349,2.366
JP,1996-05,3.388,0.46857,1.349,2.366
JP,1996-06,3.252,0.4715,1.349,2.366
JP,1996-07,3.294,0.48217,1.364,2.387
JP,1996-08,3.209,0.44409,1.364,2.387
JP,1996-09,2.928,0.46789,1.364,2.387
JP,1996-10,2.8,0.475,1.38,2.408
JP,1996-11,2.759,0.477,1.38,2.408
JP,1996-12,2.597,0.486,1.38,2.408
JP,1997-01,2.632,0.48421,1.368,2.394
JP,1997-02,2.583,0.49526,1.368,2.394
JP,1997-03,2.524,0.51,1.368,2.394
JP,1997-04,2.382,0.49619,1.355,2.378
JP,1997-05,2.736,0.48619,1.355,2.378
JP,1997-06,2.684,0.49571,1.355,2.378
JP,1997-07,2.505,0.49273,1.301,2.308
JP,1997-08,2.354,0.48476,1.301,2.308
JP,1997-09,2.21,0.498,1.301,2.308
JP,1997-10,1.994,0.48,1.247,2.238
JP,1997-11,1.941,0.49111,1.247,2.238
JP,1997-12,1.939,0.39429,1.247,2.238
JP,1998-01,1.948,0.43526,1.187,2.162
JP,1998-02,2.0,0.43368,1.187,2.162
JP,1998-03,1.855,0.43091,1.187,2.162
JP,1998-04,1.867,0.44333,1.13,2.087
JP,1998-05,1.655,0.42789,1.13,2.087
JP,1998-06,1.54,0.43682,1.13,2.087
