Country,Time,Real GDP (billions chained 2015 JPY)
JP,1994-01,465062.8
JP,1994-02,465062.8
JP,1994-03,465062.8
JP,1994-04,461493.2
JP,1994-05,461493.2
JP,1994-06,461493.2
JP,1994-07,466135.6
JP,1994-08,466135.6
JP,1994-09,466135.6
JP,1994-10,464396.1
JP,1994-11,464396.1
JP,1994-12,464396.1
JP,1995-01,468893.7
JP,1995-02,468893.7
JP,1995-03,468893.7
JP,1995-04,473150.6
JP,1995-05,473150.6
JP,1995-06,473150.6
JP,1995-07,478592.3
JP,1995-08,478592.3
JP,1995-09,478592.3
JP,1995-10,479789.5
JP,1995-11,479789.5
JP,1995-12,479789.5
JP,1996-01,484271.2
JP,1996-02,484271.2
JP,1996-03,484271.2
JP,1996-04,489495.2
JP,1996-05,489495.2
JP,1996-06,489495.2
JP,1996-07,490385.2
JP,1996-08,490385.2
JP,1996-09,490385.2
JP,1996-10,495641.6
JP,1996-11,495641.6
JP,1996-12,495641.6
JP,1997-01,498905.9
JP,1997-02,498905.9
JP,1997-03,498905.9
JP,1997-04,495398.6
JP,1997-05,495398.6
JP,1997-06,495398.6
JP,1997-07,496172.1
JP,1997-08,496172.1
JP,1997-09,496172.1
JP,1997-10,496111.7
JP,1997-11,496111.7
JP,1997-12,496111.7
JP,1998-01,488262.0
JP,1998-02,488262.0
JP,1998-03,488262.0
JP,1998-04,485563.5
JP,1998-05,485563.5
JP,1998-06,485563.5
JP,1998-07,486200.8
JP,1998-08,486200.8
JP,1998-09,486200.8
JP,1998-10,490395.9
JP,1998-11,490395.9
JP,1998-12,490395.9
JP,1999-01,483233.8
JP,1999-02,483233.8
JP,1999-03,483233.8
JP,1999-04,485676.6
JP,1999-05,485676.6
JP,1999-06,485676.6
JP,1999-07,488374.8
JP,1999-08,488374.8
JP,1999-09,488374.8
JP,1999-10,488082.5
JP,1999-11,488082.5
JP,1999-12,488082.5
JP,2000-01,497257.1
JP,2000-02,497257.1
JP,2000-03,497257.1
JP,2000-04,500294.3
JP,2000-05,500294.3
JP,2000-06,500294.3
JP,2000-07,500069.7
JP,2000-08,500069.7
JP,2000-09,500069.7
JP,2000-10,505252.0
JP,2000-11,505252.0
JP,2000-12,505252.0
JP,2001-01,508205.5
JP,2001-02,508205.5
JP,2001-03,508205.5
JP,2001-04,504350.4
JP,2001-05,504350.4
JP,2001-06,504350.4
JP,2001-07,498413.6
JP,2001-08,498413.6
JP,2001-09,498413.6
JP,2001-10,497325.4
JP,2001-11,497325.4
JP,2001-12,497325.4
JP,2002-01,498585.5
JP,2002-02,498585.5
JP,2002-03,498585.5
JP,2002-04,502164.0
JP,2002-05,502164.0
JP,2002-06,502164.0
JP,2002-07,503709.8
JP,2002-08,503709.8
JP,2002-09,503709.8
JP,2002-10,504886.4
JP,2002-11,504886.4
JP,2002-12,504886.4
JP,2003-01,504305.3
JP,2003-02,504305.3
JP,2003-03,504305.3
JP,2003-04,508466.2
JP,2003-05,508466.2
JP,2003-06,508466.2
JP,2003-07,509942.2
JP,2003-08,509942.2
JP,2003-09,509942.2
JP,2003-10,515099.4
JP,2003-11,515099.4
JP,2003-12,515099.4
JP,2004-01,519510.5
