Country,Time,LogDiff-HICP (SA),Call Money/Interbank Immediate (%),10-Year Gov Bond Yields (%)
JP,1989-01,1.0939578168432718,4.09375,4.8
JP,1989-02,-4.039860612085278,4.17928,4.894
JP,1989-03,3.024809105522408,4.25426,5.147
JP,1989-04,13.430279995219863,4.42031,5.221
JP,1989-05,3.464929725327437,4.675,5.174
JP,1989-06,4.234382889124433,5.13778,5.225
JP,1989-07,3.8440746941432735,5.2247,5.04
JP,1989-08,-0.465959231565094,5.38043,4.883
JP,1989-09,4.003472852412671,5.43125,5.096
JP,1989-10,1.9894253901181713,6.00893,5.156
JP,1989-11,-7.022573094166162,6.15156,5.371
JP,1989-12,7.735047068003809,6.44792,5.52
JP,1990-01,7.910391306939246,6.58059,6.449
JP,1990-02,1.2064942658700062,6.64309,6.778
JP,1990-03,1.619097888262644,6.81696,6.899
JP,1990-04,3.7703556031409846,7.1625,6.906
JP,1990-05,2.2245149767648797,7.25893,6.508
JP,1990-06,1.4806554999200472,7.36458,6.421
JP,1990-07,3.1544443059697613,7.52415,6.772
JP,1990-08,4.4962958237917405,7.54348,7.62
JP,1990-09,4.110823166313793,7.76316,8.032
JP,1990-10,5.892272951931687,7.81108,7.6
JP,1990-11,3.2609946536538814,8.07656,7.08
JP,1990-12,4.466033461647001,8.22969,6.454
JP,1991-01,10.384081765822728,8.05428,6.432
JP,1991-02,-3.778307253363522,8.12007,6.309
JP,1991-03,3.9514784739747455,8.27813,6.591
JP,1991-04,-0.8353488920405994,8.23363,6.64
JP,1991-05,4.63262885007012,8.03274,6.637
JP,1991-06,0.09101606860717482,8.04063,6.735
JP,1991-07,4.997322504240742,7.4606,6.67
JP,1991-08,1.7127453007518056,7.48438,6.414
JP,1991-09,-1.8701059771899509,7.04934,6.081
JP,1991-10,6.875583292367082,6.85795,5.885
JP,1991-11,5.179768561231413,6.38281,5.927
JP,1991-12,-1.0484459873286056,6.30952,5.719
JP,1992-01,0.260587334236817,5.52632,5.449
JP,1992-02,-0.7173702915611813,5.68257,5.578
JP,1992-03,3.650004324014944,5.65327,5.531
JP,1992-04,5.537157283838923,4.76637,5.71
JP,1992-05,-1.0042754791069086,4.74507,5.739
JP,1992-06,4.579932721123825,4.75284,5.64
JP,1992-07,-3.2672983805639433,4.53125,5.408
JP,1992-08,1.30419394585779,4.11905,5.112
JP,1992-09,1.9869754004147921,4.22656,5.021
JP,1992-10,-4.176148641182209,4.07386,5.015
JP,1992-11,3.8606657533630795,3.94572,4.868
JP,1992-12,1.9334215804505561,3.89489,4.848
JP,1993-01,0.9504205099538865,3.89967,4.723
JP,1993-02,2.1095349508794214,3.27632,4.409
JP,1993-03,0.338140894113792,3.24185,4.318
JP,1993-04,1.60853692472962,3.17857,4.593
JP,1993-05,-0.39963318169462525,3.2066,4.943
JP,1993-06,3.45812214307486,3.21429,4.836
JP,1993-07,9.915165260822434,3.26278,4.517
JP,1993-08,0.453593477946157,3.12926,4.407
JP,1993-09,-3.826133855700675,2.85781,4.016
JP,1993-10,-3.274186437085902,2.50781,3.931
JP,1993-11,-0.701354795745246,2.49531,3.762
JP,1993-12,0.7602022467352754,2.44196,3.396
JP,1994-01,2.3707319639751034,2.33125,3.597
JP,1994-02,1.3170036484012826,2.24013,4.041
JP,1994-03,5.123092492065595,2.25,4.453
JP,1994-04,-4.165758811171472,2.175,4.093
JP,1994-05,0.5670651478155264,2.09046,3.984
JP,1994-06,-2.213303337119399,2.0625,4.278
JP,1994-07,0.6989786503549311,2.08185,4.531
JP,1994-08,2.953559732665312,2.13043,4.778
JP,1994-09,-2.045478092351516,2.18906,4.642
JP,1994-10,4.540448057153412,2.2375,4.684
JP,1994-11,1.9859172604103748,2.26719,4.718
JP,1994-12,-2.158526860581844,2.29315,4.561
JP,1995-01,0.8135830048701109,2.25,4.605
JP,1995-02,-2.2604490245075937,2.21719,4.515
JP,1995-03,-2.1985938737024924,2.18892,4.113
JP,1995-04,-2.4492444862282525,1.525,3.545
JP,1995-05,0.697411031702444,1.31325,3.386
JP,1995-06,2.2885623644089748,1.27909,3.024
JP,1995-07,-0.9813890918159984,0.94667,2.933
JP,1995-08,-0.8745512296748359,0.88174,3.215
JP,1995-09,1.9212703914195828,0.5735,3.03
JP,1995-10,-4.537751875799501,0.46667,2.925
JP,1995-11,2.3783118395225955,0.4605,3.048
JP,1995-12,0.5753413624614012,0.45905,2.983
JP,1996-01,-0.11362457052577213,0.46632,3.12
JP,1996-02,-1.0124561431602785,0.458,3.271
JP,1996-03,0.8044674637908145,0.4555,3.299
JP,1996-04,1.7203913845062146,0.48571,3.301
JP,1996-05,-0.33006991377426687,0.46857,3.388
JP,1996-06,0.4077740605243463,0.4715,3.252
JP,1996-07,2.6104355041354665,0.48217,3.294
JP,1996-08,-1.9941933745851514,0.44409,3.209
JP,1996-09,-0.6152686391164508,0.46789,2.928
JP,1996-10,0.9346485081181299,0.475,2.8
JP,1996-11,3.4263517043534364,0.477,2.759
JP,1996-12,2.5277703823828546,0.486,2.597
JP,1997-01,-0.35360539321693807,0.48421,2.632
JP,1997-02,-1.021207181613093,0.49526,2.583
JP,1997-03,-1.360336695911002,0.51,2.524
JP,1997-04,18.171876063824755,0.49619,2.382
JP,1997-05,-0.5363669822742168,0.48619,2.736
JP,1997-06,4.515991934899688,0.49571,2.684
JP,1997-07,-1.114846029775407,0.49273,2.505
JP,1997-08,-0.2533339134672019,0.48476,2.354
JP,1997-09,3.7692015574510407,0.498,2.21
JP,1997-10,0.45882217461965524,0.48,1.994
JP,1997-11,-0.7097898374919254,0.49111,1.941
JP,1997-12,-0.349976864740853,0.39429,1.939
JP,1998-01,-0.6419270876381944,0.43526,1.948
JP,1998-02,0.7313753571718706,0.43368,2.0
JP,1998-03,1.754272564776116,0.43091,1.855
JP,1998-04,-2.557487843198203,0.44333,1.867
JP,1998-05,1.0329467780930912,0.42789,1.655
JP,1998-06,-0.4278798196629907,0.43682,1.54
JP,1998-07,-3.399241120465746,0.41318,1.683
