Country,Time,LogDiff-HICP (SA),AR(1)detrend-Call Money/Interbank Immediate (%),AR(1)detrend-10-Year Gov Bond Yields (%)
JP,1950-12,,,
JP,1951-01,,,
JP,1951-02,,,
JP,1951-03,,,
JP,1951-04,,,
JP,1951-05,,,
JP,1951-06,,,
JP,1951-07,,,
JP,1951-08,,,
JP,1951-09,,,
JP,1951-10,,,
JP,1951-11,,,
JP,1951-12,,,
JP,1952-01,,,
JP,1952-02,,,
JP,1952-03,,,
JP,1952-04,,,
JP,1952-05,,,
JP,1952-06,,,
JP,1952-07,,,
JP,1952-08,,,
JP,1952-09,,,
JP,1952-10,,,
JP,1952-11,,,
JP,1952-12,,,
JP,1953-01,,,
JP,1953-02,,,
JP,1953-03,,,
JP,1953-04,,,
JP,1953-05,,,
JP,1953-06,,,
JP,1953-07,,,
JP,1953-08,,,
JP,1953-09,,,
JP,1953-10,,,
JP,1953-11,,,
JP,1953-12,,,
JP,1954-01,,,
JP,1954-02,,,
JP,1954-03,,,
JP,1954-04,,,
JP,1954-05,,,
JP,1954-06,,,
JP,1954-07,,,
JP,1954-08,,,
JP,1954-09,,,
JP,1954-10,,,
JP,1954-11,,,
JP,1954-12,,,
JP,1955-01,,,
JP,1955-02,,,
JP,1955-03,,,
JP,1955-04,,,
JP,1955-05,,,
JP,1955-06,,,
JP,1955-07,,,
JP,1955-08,,,
JP,1955-09,,,
JP,1955-10,,,
JP,1955-11,,,
JP,1955-12,,,
JP,1956-01,,,
JP,1956-02,,,
JP,1956-03,,,
JP,1956-04,,,
JP,1956-05,,,
JP,1956-06,,,
JP,1956-07,,,
JP,1956-08,,,
JP,1956-09,,,
JP,1956-10,,,
JP,1956-11,,,
JP,1956-12,,,
JP,1957-01,,,
JP,1957-02,,,
JP,1957-03,,,
JP,1957-04,,,
JP,1957-05,,,
JP,1957-06,,,
JP,1957-07,,,
JP,1957-08,,,
JP,1957-09,,,
JP,1957-10,,,
JP,1957-11,,,
JP,1957-12,,,
JP,1958-01,,,
JP,1958-02,,,
JP,1958-03,,,
JP,1958-04,,,
JP,1958-05,,,
JP,1958-06,,,
JP,1958-07,,,
JP,1958-08,,,
JP,1958-09,,,
JP,1958-10,,,
JP,1958-11,,,
JP,1958-12,,,
JP,1959-01,,,
JP,1959-02,,,
JP,1959-03,,,
JP,1959-04,,,
JP,1959-05,,,
JP,1959-06,,,
JP,1959-07,,,
JP,1959-08,,,
JP,1959-09,,,
JP,1959-10,,,
JP,1959-11,,,
JP,1959-12,,,
JP,1960-01,,,
JP,1960-02,,,
JP,1960-03,,,
JP,1960-04,,,
JP,1960-05,,,
JP,1960-06,,,
JP,1960-07,,,
JP,1960-08,,,
JP,1960-09,,,
JP,1960-10,,,
JP,1960-11,,,
JP,1960-12,,,
JP,1961-01,,,
JP,1961-02,,,
JP,1961-03,,,
JP,1961-04,,,
JP,1961-05,,,
JP,1961-06,,,
JP,1961-07,,,
JP,1961-08,,,
JP,1961-09,,,
JP,1961-10,,,
JP,1961-11,,,
JP,1961-12,,,
JP,1962-01,,,
JP,1962-02,,,
JP,1962-03,,,
JP,1962-04,,,
JP,1962-05,,,
JP,1962-06,,,
JP,1962-07,,,
JP,1962-08,,,
JP,1962-09,,,
JP,1962-10,,,
JP,1962-11,,,
JP,1962-12,,,
JP,1963-01,,,
JP,1963-02,,,
JP,1963-03,,,
JP,1963-04,,,
JP,1963-05,,,
JP,1963-06,,,
JP,1963-07,,,
JP,1963-08,,,
JP,1963-09,,,
JP,1963-10,,,
JP,1963-11,,,
JP,1963-12,,,
JP,1964-01,,,
JP,1964-02,,,
JP,1964-03,,,
JP,1964-04,,,
JP,1964-05,,,
JP,1964-06,,,
JP,1964-07,,,
JP,1964-08,,,
JP,1964-09,,,
JP,1964-10,,,
JP,1964-11,,,
JP,1964-12,,,
JP,1965-01,,,
JP,1965-02,,,
JP,1965-03,,,
JP,1965-04,,,
JP,1965-05,,,
JP,1965-06,,,
JP,1965-07,,,
JP,1965-08,,,
JP,1965-09,,,
JP,1965-10,,,
JP,1965-11,,,
JP,1965-12,,,
JP,1966-01,,,
JP,1966-02,,,
JP,1966-03,,,
JP,1966-04,,,
JP,1966-05,,,
JP,1966-06,,,
JP,1966-07,,,
JP,1966-08,,,
JP,1966-09,,,
JP,1966-10,,,
JP,1966-11,,,
JP,1966-12,,,
JP,1967-01,,,
JP,1967-02,,,
JP,1967-03,,,
JP,1967-04,,,
JP,1967-05,,,
JP,1967-06,,,
JP,1967-07,,,
JP,1967-08,,,
JP,1967-09,,,
JP,1967-10,,,
JP,1967-11,,,
JP,1967-12,,,
JP,1968-01,,,
JP,1968-02,,,
JP,1968-03,,,
JP,1968-04,,,
JP,1968-05,,,
JP,1968-06,,,
JP,1968-07,,,
JP,1968-08,,,
JP,1968-09,,,
JP,1968-10,,,
JP,1968-11,,,
JP,1968-12,,,
JP,1969-01,,,
JP,1969-02,,,
JP,1969-03,,,
JP,1969-04,,,
JP,1969-05,,,
JP,1969-06,,,
JP,1969-07,,,
JP,1969-08,,,
JP,1969-09,,,
JP,1969-10,,,
JP,1969-11,,,
JP,1969-12,,,
JP,1970-01,,,
JP,1970-02,5.937578906327268,,
JP,1970-03,11.013942294327705,,
JP,1970-04,5.742227855143867,,
JP,1970-05,1.9085464579122302,,
JP,1970-06,4.057836379711155,,
JP,1970-07,5.728616892525551,,
JP,1970-08,2.679920309195616,,
JP,1970-09,13.223121968482943,,
JP,1970-10,3.1256770579865645,,
JP,1970-11,6.933229557881226,,
JP,1970-12,7.413406935174294,,
JP,1971-01,9.98358713226093,,
JP,1971-02,4.215407751281575,,
JP,1971-03,0.5135238232837125,,
JP,1971-04,7.12288575519775,,
JP,1971-05,8.910193154031987,,
JP,1971-06,7.838994228454155,,
JP,1971-07,6.197427480999096,,
JP,1971-08,4.675873746604253,,
JP,1971-09,24.835502787985142,,
JP,1971-10,-18.91902751370136,,
JP,1971-11,4.292580256351641,,
JP,1971-12,6.727687995759268,,
JP,1972-01,-5.091494878559644,,
JP,1972-02,9.22841716237155,,
JP,1972-03,6.122866977844055,,
JP,1972-04,4.6353658408049725,,
JP,1972-05,8.576601426589292,,
JP,1972-06,4.586102876556808,,
JP,1972-07,6.672049327702467,,
JP,1972-08,15.315832004939622,,
JP,1972-09,2.44847549951821,,
JP,1972-10,-20.979154594562566,,
JP,1972-11,18.978224342941985,,
JP,1972-12,21.22250190530366,,
JP,1973-01,3.162723395560718,,
JP,1973-02,7.304747027967373,,
JP,1973-03,26.389577920925333,,
JP,1973-04,12.057163538314342,,
JP,1973-05,24.247818043650327,,
JP,1973-06,8.393691493634314,,
JP,1973-07,16.137136152509335,,
JP,1973-08,16.23229314929553,,
JP,1973-09,26.046595797424033,,
JP,1973-10,-23.983093010595802,,
JP,1973-11,36.071734693684654,,
JP,1973-12,50.65487606056287,,
JP,1974-01,39.84798724466447,,
JP,1974-02,34.66139300215101,,
JP,1974-03,5.5339804418462535,,
JP,1974-04,18.203955651268267,,
JP,1974-05,10.254550008257901,,
JP,1974-06,14.08552976364863,,
JP,1974-07,28.07252356763783,,
JP,1974-08,22.11905488541177,,
JP,1974-09,4.766803527425445,,
JP,1974-10,-1.1751095531309375,,
JP,1974-11,41.43341709248567,,
JP,1974-12,12.119755132564336,,
JP,1975-01,0.8348006449251599,,
JP,1975-02,-1.6817033658854896,,
JP,1975-03,9.902758578734883,,
JP,1975-04,8.053070372052318,,
JP,1975-05,11.978583444483526,,
JP,1975-06,7.012826747921963,,
JP,1975-07,8.993676590958621,,
